attendance_id,student_id,batch_id,attendance_date,attendance_status
1,1,1,2025-02-01,Present
2,2,1,2025-02-01,Present
3,3,2,2025-02-01,Absent
4,4,2,2025-02-01,Present
5,5,3,2025-02-02,Present
6,6,4,2025-02-02,Present
7,7,5,2025-02-02,Absent
8,8,6,2025-02-02,Present
9,9,7,2025-02-03,Present
10,10,8,2025-02-03,Present
11,11,9,2025-02-03,Absent
12,12,10,2025-02-03,Present
13,13,11,2025-02-04,Present
14,14,11,2025-02-04,Present
15,15,12,2025-02-04,Absent
16,16,12,2025-02-04,Present
17,17,13,2025-02-05,Present
18,18,14,2025-02-05,Absent
19,19,15,2025-02-05,Present
20,20,16,2025-02-05,Present
21,21,17,2025-02-06,Present
22,22,18,2026-02-01,Present
23,23,18,2026-02-01,Present
24,24,19,2026-02-01,Absent
25,25,19,2026-02-01,Present
26,26,20,2026-02-02,Present
27,27,20,2026-02-02,Present
28,28,21,2026-02-02,Absent
29,29,21,2026-02-02,Present
30,30,22,2026-02-03,Present
31,31,22,2026-02-03,Present
32,32,23,2026-02-03,Present
33,33,23,2026-02-03,Absent
34,34,24,2026-02-04,Present
35,35,24,2026-02-04,Present
36,36,25,2026-02-04,Absent
37,37,25,2026-02-04,Present
38,1,18,2026-02-05,Present
39,2,19,2026-02-05,Present
40,3,20,2026-02-05,Absent
41,4,21,2026-02-05,Present
42,5,22,2026-02-06,Present
43,6,23,2026-02-06,Present
44,7,24,2026-02-06,Absent
45,8,25,2026-02-06,Present
46,9,18,2026-02-07,Present
47,10,19,2026-02-07,Present
48,11,20,2026-02-07,Absent
49,12,21,2026-02-07,Present
50,13,22,2026-02-08,Present
51,14,23,2026-02-08,Present
52,15,24,2026-02-08,Absent
53,16,25,2026-02-08,Present
54,17,13,2025-02-07,Present
55,18,14,2025-02-07,Present
56,19,15,2025-02-07,Absent
57,20,16,2025-02-07,Present
58,21,17,2025-02-08,Present
59,22,18,2026-02-10,Present
60,23,18,2026-02-10,Absent
61,24,19,2026-02-10,Present
62,25,19,2026-02-10,Present
63,26,20,2026-02-11,Present
64,27,20,2026-02-11,Absent
65,28,21,2026-02-11,Present
66,29,21,2026-02-11,Present
67,30,22,2026-02-12,Present
68,31,22,2026-02-12,Absent
69,32,23,2026-02-12,Present
70,33,23,2026-02-12,Present
71,34,24,2026-02-13,Present
72,35,24,2026-02-13,Absent
73,36,25,2026-02-13,Present
74,37,25,2026-02-13,Present
75,38,18,2026-02-14,Present
76,39,19,2026-02-14,Present
77,40,20,2026-02-14,Absent
78,41,21,2026-02-14,Present
79,42,22,2026-02-15,Present
80,43,23,2026-02-15,Present
81,44,24,2026-02-15,Absent
82,45,25,2026-02-15,Present
83,46,18,2026-02-16,Present
84,47,19,2026-02-16,Absent
85,48,20,2026-02-16,Present
86,49,21,2026-02-16,Present
87,50,22,2026-02-17,Present
88,1,18,2026-02-17,Present
89,2,19,2026-02-17,Absent
90,3,20,2026-02-17,Present
91,4,21,2026-02-18,Present
92,5,22,2026-02-18,Present
93,6,23,2026-02-18,Absent
94,7,24,2026-02-18,Present
95,8,25,2026-02-18,Present
96,9,18,2026-02-19,Present
97,10,19,2026-02-19,Absent
98,11,20,2026-02-19,Present
99,12,21,2026-02-19,Present
100,13,22,2026-02-20,Present
