batch_id,batch_name,academic_year_id,course_id,teacher_id,shift,start_time,end_time,room_no,max_students,status
1,Math-SSC-Morning,1,1,1,Morning,08:00,10:00,101,40,Completed
2,Physics-HSC-Morning,1,2,2,Morning,10:30,12:30,102,40,Completed
3,Chemistry-HSC-Afternoon,1,3,3,Afternoon,14:00,16:00,103,40,Completed
4,Biology-HSC-Evening,1,4,4,Evening,17:00,19:00,104,35,Completed
5,ICT-HSC-Morning,1,5,5,Morning,08:00,10:00,105,45,Completed
6,English-SSC-Evening,1,6,6,Evening,17:00,19:00,106,40,Completed
7,HMath-HSC-Morning,1,7,7,Morning,10:30,12:30,107,35,Completed
8,Admission-Math-A,1,8,1,Evening,18:00,20:00,201,50,Completed
9,Admission-Physics-A,1,9,8,Evening,18:00,20:00,202,50,Completed
10,Admission-Chemistry-A,1,10,9,Evening,20:00,22:00,203,50,Completed
11,Math-SSC-Morning-25,2,1,13,Morning,08:00,10:00,101,40,Completed
12,Physics-HSC-Morning-25,2,2,14,Morning,10:30,12:30,102,40,Completed
13,Chemistry-HSC-Afternoon-25,2,3,15,Afternoon,14:00,16:00,103,40,Completed
14,Biology-HSC-Evening-25,2,4,10,Evening,17:00,19:00,104,35,Completed
15,ICT-HSC-Morning-25,2,5,11,Morning,08:00,10:00,105,45,Completed
16,English-SSC-Evening-25,2,6,12,Evening,17:00,19:00,106,40,Completed
17,HMath-HSC-Morning-25,2,7,13,Morning,10:30,12:30,107,35,Completed
18,Math-SSC-Morning-26,3,1,1,Morning,08:00,10:00,101,40,Active
19,Physics-HSC-Morning-26,3,2,2,Morning,10:30,12:30,102,40,Active
20,Chemistry-HSC-Afternoon-26,3,3,3,Afternoon,14:00,16:00,103,40,Active
21,Biology-HSC-Evening-26,3,4,4,Evening,17:00,19:00,104,35,Active
22,ICT-HSC-Morning-26,3,5,5,Morning,08:00,10:00,105,45,Active
23,English-SSC-Evening-26,3,6,6,Evening,17:00,19:00,106,40,Active
24,HMath-HSC-Morning-26,3,7,7,Morning,10:30,12:30,107,35,Active
25,Admission-Math-26,3,8,1,Evening,18:00,20:00,201,50,Active
