enrollment_id,student_id,batch_id,enrollment_date,enrollment_status
1,1,1,2025-01-10,Completed
2,2,1,2025-01-10,Completed
3,3,2,2025-01-15,Completed
4,4,2,2025-01-18,Completed
5,5,3,2025-01-20,Completed
6,6,4,2025-01-22,Completed
7,7,5,2025-01-25,Completed
8,8,6,2025-01-27,Completed
9,9,7,2025-02-01,Completed
10,10,8,2025-02-03,Completed
11,11,9,2025-02-05,Completed
12,12,10,2025-02-08,Completed
13,13,11,2025-02-10,Completed
14,14,11,2025-02-12,Completed
15,15,12,2025-02-15,Completed
16,16,12,2025-02-18,Completed
17,17,13,2025-02-20,Completed
18,18,14,2025-02-22,Completed
19,19,15,2025-02-25,Completed
20,20,16,2025-02-28,Completed
21,21,17,2025-03-02,Completed
22,22,18,2026-01-10,Active
23,23,18,2026-01-10,Active
24,24,19,2026-01-12,Active
25,25,19,2026-01-12,Active
26,26,20,2026-01-15,Active
27,27,20,2026-01-15,Active
28,28,21,2026-01-18,Active
29,29,21,2026-01-18,Active
30,30,22,2026-01-20,Active
31,31,22,2026-01-20,Active
32,32,23,2026-01-22,Active
33,33,23,2026-01-22,Active
34,34,24,2026-01-25,Active
35,35,24,2026-01-25,Active
36,36,25,2026-01-28,Active
37,37,18,2026-01-30,Active
38,38,19,2026-02-01,Active
39,39,20,2026-02-03,Active
40,40,21,2026-02-05,Active
41,41,22,2026-02-07,Active
42,42,23,2026-02-10,Active
43,43,24,2026-02-12,Active
44,44,25,2026-02-15,Active
45,45,18,2026-02-18,Active
46,46,19,2026-02-20,Active
47,47,20,2026-02-22,Active
48,48,21,2026-02-25,Active
49,49,22,2026-02-27,Active
50,50,23,2026-03-01,Active
51,1,18,2026-01-10,Active
52,2,19,2026-01-12,Active
53,3,20,2026-01-15,Active
54,4,21,2026-01-18,Active
55,5,22,2026-01-20,Active
56,6,23,2026-01-22,Active
57,7,24,2026-01-25,Active
58,8,25,2026-01-28,Active
59,9,18,2026-02-01,Active
60,10,19,2026-02-03,Active
