exam_id,exam_name,exam_type,course_id,academic_year_id,exam_date,total_marks
1,Mathematics Monthly Test 1,Monthly,1,1,2025-02-15,100
2,Physics Monthly Test 1,Monthly,2,1,2025-02-16,100
3,Chemistry Monthly Test 1,Monthly,3,1,2025-02-17,100
4,Biology Monthly Test 1,Monthly,4,1,2025-02-18,100
5,ICT Monthly Test 1,Monthly,5,1,2025-02-19,100
6,English Monthly Test 1,Monthly,6,1,2025-02-20,100
7,Higher Mathematics Monthly Test 1,Monthly,7,1,2025-02-21,100
8,Admission Mathematics Model Test 1,Model Test,8,1,2025-03-01,100
9,Admission Physics Model Test 1,Model Test,9,1,2025-03-02,100
10,Admission Chemistry Model Test 1,Model Test,10,1,2025-03-03,100
11,Mathematics Final Exam,Final,1,1,2025-06-10,100
12,Physics Final Exam,Final,2,1,2025-06-11,100
13,Chemistry Final Exam,Final,3,1,2025-06-12,100
14,Biology Final Exam,Final,4,1,2025-06-13,100
15,ICT Final Exam,Final,5,1,2025-06-14,100
16,English Final Exam,Final,6,1,2025-06-15,100
17,Higher Mathematics Final Exam,Final,7,1,2025-06-16,100
18,Mathematics Monthly Test 1,Monthly,1,2,2025-08-15,100
19,Physics Monthly Test 1,Monthly,2,2,2025-08-16,100
20,Chemistry Monthly Test 1,Monthly,3,2,2025-08-17,100
21,Biology Monthly Test 1,Monthly,4,2,2025-08-18,100
22,ICT Monthly Test 1,Monthly,5,2,2025-08-19,100
23,English Monthly Test 1,Monthly,6,2,2025-08-20,100
24,Higher Mathematics Monthly Test 1,Monthly,7,2,2025-08-21,100
25,Mathematics Half Yearly,Half Yearly,1,2,2025-10-10,100
26,Physics Half Yearly,Half Yearly,2,2,2025-10-11,100
27,Chemistry Half Yearly,Half Yearly,3,2,2025-10-12,100
28,Biology Half Yearly,Half Yearly,4,2,2025-10-13,100
29,ICT Half Yearly,Half Yearly,5,2,2025-10-14,100
30,English Half Yearly,Half Yearly,6,2,2025-10-15,100
31,Higher Mathematics Half Yearly,Half Yearly,7,2,2025-10-16,100
32,Mathematics Monthly Test 1,Monthly,1,3,2026-02-15,100
33,Physics Monthly Test 1,Monthly,2,3,2026-02-16,100
34,Chemistry Monthly Test 1,Monthly,3,3,2026-02-17,100
35,Biology Monthly Test 1,Monthly,4,3,2026-02-18,100
36,ICT Monthly Test 1,Monthly,5,3,2026-02-19,100
37,English Monthly Test 1,Monthly,6,3,2026-02-20,100
38,Higher Mathematics Monthly Test 1,Monthly,7,3,2026-02-21,100
39,Mathematics Mid Term,Mid Term,1,3,2026-04-10,100
40,Physics Mid Term,Mid Term,2,3,2026-04-11,100
41,Chemistry Mid Term,Mid Term,3,3,2026-04-12,100
42,Biology Mid Term,Mid Term,4,3,2026-04-13,100
43,ICT Mid Term,Mid Term,5,3,2026-04-14,100
44,English Mid Term,Mid Term,6,3,2026-04-15,100
45,Higher Mathematics Mid Term,Mid Term,7,3,2026-04-16,100
