payment_id,student_id,batch_id,payment_date,amount,payment_method,payment_status,invoice_no
1,1,1,2025-01-10,3000,Cash,Paid,INV-2025-0001
2,2,1,2025-01-10,6000,bKash,Paid,INV-2025-0002
3,3,2,2025-01-15,4000,Nagad,Paid,INV-2025-0003
4,4,2,2025-01-18,8000,bKash,Paid,INV-2025-0004
5,5,3,2025-01-20,4000,Cash,Paid,INV-2025-0005
6,6,4,2025-01-22,7500,bKash,Paid,INV-2025-0006
7,7,5,2025-01-25,5000,Nagad,Paid,INV-2025-0007
8,8,6,2025-01-27,2500,Cash,Paid,INV-2025-0008
9,9,7,2025-02-01,8500,bKash,Paid,INV-2025-0009
10,10,8,2025-02-03,7000,Nagad,Paid,INV-2025-0010
11,11,9,2025-02-05,3500,Cash,Paid,INV-2025-0011
12,12,10,2025-02-08,7000,bKash,Paid,INV-2025-0012
13,13,11,2025-02-10,9000,bKash,Paid,INV-2025-0013
14,14,11,2025-02-12,4500,Cash,Paid,INV-2025-0014
15,15,12,2025-02-15,9000,Nagad,Paid,INV-2025-0015
16,16,12,2025-02-18,4500,bKash,Paid,INV-2025-0016
17,17,13,2025-02-20,4000,Cash,Paid,INV-2025-0017
18,18,14,2025-02-22,7500,bKash,Paid,INV-2025-0018
19,19,15,2025-02-25,5000,Nagad,Paid,INV-2025-0019
20,20,16,2025-02-28,5000,Cash,Paid,INV-2025-0020
21,21,17,2025-03-02,4250,bKash,Paid,INV-2025-0021
22,22,18,2026-01-10,3000,Cash,Paid,INV-2026-0001
23,23,18,2026-01-10,6000,bKash,Paid,INV-2026-0002
24,24,19,2026-01-12,4000,Nagad,Paid,INV-2026-0003
25,25,19,2026-01-12,8000,bKash,Paid,INV-2026-0004
26,26,20,2026-01-15,4000,Cash,Paid,INV-2026-0005
27,27,20,2026-01-15,8000,bKash,Paid,INV-2026-0006
28,28,21,2026-01-18,3750,Nagad,Paid,INV-2026-0007
29,29,21,2026-01-18,7500,bKash,Paid,INV-2026-0008
30,30,22,2026-01-20,5000,Cash,Paid,INV-2026-0009
31,31,22,2026-01-20,2500,bKash,Paid,INV-2026-0010
32,32,23,2026-01-22,5000,Nagad,Paid,INV-2026-0011
33,33,23,2026-01-22,2500,Cash,Paid,INV-2026-0012
34,34,24,2026-01-25,4250,bKash,Paid,INV-2026-0013
35,35,24,2026-01-25,8500,Nagad,Paid,INV-2026-0014
36,36,25,2026-01-28,3500,Cash,Paid,INV-2026-0015
37,37,25,2026-01-28,7000,bKash,Paid,INV-2026-0016
38,38,18,2026-02-01,3000,bKash,Paid,INV-2026-0017
39,39,19,2026-02-03,8000,Nagad,Paid,INV-2026-0018
40,40,20,2026-02-05,4000,Cash,Paid,INV-2026-0019
41,41,21,2026-02-07,7500,bKash,Paid,INV-2026-0020
42,42,22,2026-02-10,5000,Nagad,Paid,INV-2026-0021
43,43,23,2026-02-12,2500,Cash,Paid,INV-2026-0022
44,44,24,2026-02-15,8500,bKash,Paid,INV-2026-0023
45,45,25,2026-02-18,7000,Nagad,Paid,INV-2026-0024
46,46,18,2026-02-20,3000,Cash,Paid,INV-2026-0025
47,47,19,2026-02-22,4000,bKash,Paid,INV-2026-0026
48,48,20,2026-02-25,8000,Nagad,Paid,INV-2026-0027
49,49,21,2026-02-27,3750,Cash,Paid,INV-2026-0028
50,50,22,2026-03-01,5000,bKash,Paid,INV-2026-0029
51,1,18,2026-01-10,3000,bKash,Paid,INV-2026-0030
52,2,19,2026-01-12,4000,Cash,Paid,INV-2026-0031
53,3,20,2026-01-15,8000,Nagad,Paid,INV-2026-0032
54,4,21,2026-01-18,3750,bKash,Paid,INV-2026-0033
55,5,22,2026-01-20,5000,Cash,Paid,INV-2026-0034
56,6,23,2026-01-22,2500,Nagad,Paid,INV-2026-0035
57,7,24,2026-01-25,4250,bKash,Paid,INV-2026-0036
58,8,25,2026-01-28,7000,Cash,Paid,INV-2026-0037
59,9,18,2026-02-01,3000,Nagad,Paid,INV-2026-0038
60,10,19,2026-02-03,8000,bKash,Paid,INV-2026-0039
