result_id,exam_id,student_id,marks,grade,result_status
1,1,1,82,A+,Pass
2,1,2,76,A,Pass
3,1,14,91,A+,Pass
4,1,22,68,A-,Pass
5,1,30,55,B,Pass
6,2,3,74,A,Pass
7,2,4,88,A+,Pass
8,2,24,63,B,Pass
9,2,32,79,A,Pass
10,2,38,52,B,Pass
11,3,5,81,A+,Pass
12,3,17,69,A-,Pass
13,3,26,73,A,Pass
14,3,35,58,B,Pass
15,3,43,92,A+,Pass
16,4,6,87,A+,Pass
17,4,18,72,A,Pass
18,4,28,64,B+,Pass
19,4,36,49,C,Pass
20,4,44,78,A,Pass
21,5,7,95,A+,Pass
22,5,19,82,A+,Pass
23,5,29,71,A,Pass
24,5,37,66,B+,Pass
25,5,45,54,B,Pass
26,6,8,89,A+,Pass
27,6,20,75,A,Pass
28,6,30,61,B+,Pass
29,6,40,47,C,Pass
30,6,48,83,A+,Pass
31,7,9,78,A,Pass
32,7,21,91,A+,Pass
33,7,31,67,B+,Pass
34,7,39,73,A,Pass
35,7,47,45,C,Pass
36,8,10,84,A+,Pass
37,8,22,71,A,Pass
38,8,32,93,A+,Pass
39,8,42,62,B+,Pass
40,8,50,76,A,Pass
41,9,11,79,A,Pass
42,9,23,65,B+,Pass
43,9,33,88,A+,Pass
44,9,41,57,B,Pass
45,9,49,72,A,Pass
46,10,12,86,A+,Pass
47,10,24,74,A,Pass
48,10,34,69,A-,Pass
49,10,44,81,A+,Pass
50,10,50,59,B,Pass
51,11,1,88,A+,Pass
52,11,2,81,A+,Pass
53,11,13,74,A,Pass
54,11,14,93,A+,Pass
55,11,15,69,A-,Pass
56,12,3,91,A+,Pass
57,12,4,85,A+,Pass
58,12,15,73,A,Pass
59,12,16,67,B+,Pass
60,12,25,78,A,Pass
61,13,5,84,A+,Pass
62,13,17,72,A,Pass
63,13,19,89,A+,Pass
64,13,27,61,B+,Pass
65,13,35,76,A,Pass
66,14,6,90,A+,Pass
67,14,18,77,A,Pass
68,14,28,69,A-,Pass
69,14,36,55,B,Pass
70,14,46,82,A+,Pass
71,15,7,94,A+,Pass
72,15,19,86,A+,Pass
73,15,29,73,A,Pass
74,15,37,64,B+,Pass
75,15,45,57,B,Pass
76,16,8,87,A+,Pass
77,16,20,79,A,Pass
78,16,30,68,A-,Pass
79,16,40,51,B,Pass
80,16,48,91,A+,Pass
81,17,9,83,A+,Pass
82,17,21,95,A+,Pass
83,17,31,70,A,Pass
84,17,39,62,B+,Pass
85,17,47,48,C,Pass
86,32,1,91,A+,Pass
87,32,2,84,A+,Pass
88,32,22,73,A,Pass
89,32,37,65,B+,Pass
90,32,45,58,B,Pass
91,33,3,88,A+,Pass
92,33,4,79,A,Pass
93,33,24,69,A-,Pass
94,33,39,82,A+,Pass
95,33,49,55,B,Pass
96,34,5,76,A,Pass
97,34,17,64,B+,Pass
98,34,26,89,A+,Pass
99,34,35,71,A,Pass
100,34,43,93,A+,Pass
101,35,6,85,A+,Pass
102,35,18,74,A,Pass
103,35,28,67,B+,Pass
104,35,36,52,B,Pass
105,35,44,81,A+,Pass
106,36,7,96,A+,Pass
107,36,19,83,A+,Pass
108,36,29,72,A,Pass
109,36,37,61,B+,Pass
110,36,45,56,B,Pass
111,37,8,90,A+,Pass
112,37,20,78,A,Pass
113,37,30,66,B+,Pass
114,37,40,49,C,Pass
115,37,48,87,A+,Pass
116,38,9,81,A+,Pass
117,38,21,94,A+,Pass
118,38,31,69,A-,Pass
119,38,39,76,A,Pass
120,38,47,53,B,Pass
121,39,1,86,A+,Pass
122,39,2,77,A,Pass
123,39,13,69,A-,Pass
124,39,14,92,A+,Pass
125,39,15,73,A,Pass
126,40,3,90,A+,Pass
127,40,4,82,A+,Pass
128,40,15,71,A,Pass
129,40,16,63,B+,Pass
130,40,25,79,A,Pass
131,41,5,83,A+,Pass
132,41,17,68,A-,Pass
133,41,19,91,A+,Pass
134,41,27,58,B,Pass
135,41,35,75,A,Pass
136,42,6,88,A+,Pass
137,42,18,76,A,Pass
138,42,28,65,B+,Pass
139,42,36,47,C,Pass
140,42,46,84,A+,Pass
141,43,7,97,A+,Pass
142,43,19,85,A+,Pass
143,43,29,74,A,Pass
144,43,37,62,B+,Pass
145,43,45,55,B,Pass
146,44,8,89,A+,Pass
147,44,20,80,A+,Pass
148,44,30,67,B+,Pass
149,44,40,50,B,Pass
150,44,48,92,A+,Pass
151,45,9,84,A+,Pass
152,45,21,96,A+,Pass
153,45,31,71,A,Pass
154,45,39,64,B+,Pass
155,45,47,46,C,Pass
